"378","동원시스템즈","플라스틱제품 제조업","014820"
"379","유니드","기초 화학물질 제조업","014830"
"380","성문전자","전자부품 제조업","014910"
"381","오리엔탈정공","일반 목적용 기계 제조업","014940"
"382","삼륭물산","골판지 종이 상자 및 종이 용기 제조업","014970"
"383","인디에프","봉제의복 제조업","014990"
"384","이스타코","부동산 임대 및 공급업","015020"
"385","대창단조","자동차 신품 부품 제조업","015230"
"386","에이엔피","전자부품 제조업","015260"
"387","예스코홀딩스","기타 금융업","015360"
"388","메디파트너생명공학","기타 사업지원 서비스업","015540"
"389","코콤","통신 및 방송 장비 제조업","015710"
"390","성우하이텍","자동차 신품 부품 제조업","015750"
"391","한국전력공사","전기업","015760"
"392","일진홀딩스","기타 금융업","015860"
"393","태경산업","기초 화학물질 제조업","015890"
"394","리더스코스메틱","기타 화학제품 제조업","016100"
"395","이테크건설","건물 건설업","016250"
"396","동부제철","1차 철강 제조업","016380"
"397","한세예스24홀딩스","봉제의복 제조업","016450"
"398","환인제약","의약품 제조업","016580"
"399","신대양제지","골판지 종이 상자 및 종이 용기 제조업","016590"
"400","포비스티앤씨","기타 전문 도매업","016670"
"401","대성홀딩스","회사 본부 및 경영 컨설팅 서비스업","016710"
"402","두올","자동차 신품 부품 제조업","016740"
"403","웅진","기타 금융업","016880"
"404","카스","기계장비 및 관련 물품 도매업","016920"
"405","신원종합개발","건물 건설업","017000"
"406","광명전기","전동기 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","017040"
"407","명문제약","의약품 제조업","017180"
"408","우신시스템","특수 목적용 기계 제조업","017370"
"409","서울도시가스","연료용 가스 제조 및 배관공급업","017390"
"410","수산중공업","특수 목적용 기계 제조업","017550"
"411","대림제지","기타 종이 및 판지 제품 제조업","017650"
"412","SK텔레콤","전기 통신업","017670"
"413","데코앤이","봉제의복 제조업","017680"
"414","현대엘리베이터","일반 목적용 기계 제조업","017800"
"415","풀무원","기타 식품 제조업","017810"
"416","한국알콜","기타 화학제품 제조업","017890"
"417","광전자","반도체 제조업","017900"
"418","E1","기타 전문 도매업","017940"
"419","한국카본","구조용 금속제품 탱크 및 증기발생기 제조업","017960"
"420","유니슨","일반 목적용 기계 제조업","018000"
"421","진로발효","알코올음료 제조업","018120"
"422","애경산업","기타 화학제품 제조업","018250"
"423","삼성에스디에스","컴퓨터 프로그래밍 시스템 통합 및 관리업","018260"
"424","브이티지엠피","컴퓨터 및 주변장치 제조업","018290"
"425","동원금속","자동차 신품 부품 제조업","018500"
"426","우진비앤지","의약품 제조업","018620"
"427","SK가스","기타 전문 도매업","018670"
"428","바른손","영화 비디오물 방송프로그램 제작 및 배급업","018700"
"429","한온시스템","일반 목적용 기계 제조업","018880"
"430","베뉴지","종합 소매업","019010"
"431","신풍제약","의약품 제조업","019170"
"432","티에이치엔","기타 전기장비 제조업","019180"
"433","와이지-원","기타 금속 가공제품 제조업","019210"
"434","세아특수강","1차 철강 제조업","019440"
"435","하이트론씨스템즈","영상 및 음향기기 제조업","019490"
"436","일지테크","자동차 신품 부품 제조업","019540"
"437","대교","초등 교육기관","019680"
"438","서연탑메탈","특수 목적용 기계 제조업","019770"
"439","에너토크","일반 목적용 기계 제조업","019990"
"440","한섬","봉제의복 제조업","020000"
"441","키다리스튜디오","자료처리 호스팅 포털 및 기타 인터넷 정보매개 서비스업","020120"
"442","일진머티리얼즈","전자부품 제조업","020150"
"443","아시아나항공","항공 여객 운송업","020560"
"444","시공테크","전문 디자인업","020710"
"445","일진디스플","반도체 제조업","020760"
"446","서원","금속 주조업","021050"
"447","웅진코웨이","그 외 기타 개인 서비스업","021240"
"448","한국큐빅","플라스틱제품 제조업","021650"
"449","포스코 ICT","건축기술 엔지니어링 및 관련 기술 서비스업","022100"
"450","정산애강","플라스틱제품 제조업","022220"
"451","MH에탄올","알코올음료 제조업","023150"
"452","태광","1차 철강 제조업","023160"
"453","유진기업","시멘트 석회 플라스터 및 그 제품 제조업","023410"
"454","CNH","신탁업 및 집합투자업","023460"
"455","롯데쇼핑","종합 소매업","023530"
"456","다우기술","자료처리 호스팅 포털 및 기타 인터넷 정보매개 서비스업","023590"
"457","삼보판지","펄프 종이 및 판지 제조업","023600"
"458","인지컨트롤스","자동차 신품 부품 제조업","023800"
"459","인팩","자동차 신품 부품 제조업","023810"
"460","한국아트라스비엑스","일차전지 및 축전지 제조업","023890"
"461","풍국주정","알코올음료 제조업","023900"
"462","WISCOM","플라스틱제품 제조업","024070"
"463","디씨엠","1차 철강 제조업","024090"
"464","KB오토시스","자동차 신품 부품 제조업","024120"
"465","한국콜마홀딩스","기타 금융업","024720"
"466","한일단조","자동차 신품 부품 제조업","024740"
"467","유성티엔에스","육상 여객 운송업","024800"
"468","KBI메탈","1차 비철금속 제조업","024840"
"469","피에스엠씨","전자부품 제조업","024850"
"470","케이피에프","기타 금속 가공제품 제조업","024880"
"471","대원화성","플라스틱제품 제조업","024890"
"472","덕양산업","자동차 신품 부품 제조업","024900"
"473","경창산업","자동차 신품 부품 제조업","024910"
"474","삼천리자전거","생활용품 도매업","024950"
"475","KPX케미칼","기초 화학물질 제조업","025000"
"476","시노펙스","전자부품 제조업","025320"
"477","대성엘텍","영상 및 음향기기 제조업","025440"
"478","에스제이엠홀딩스","자동차 부품 및 내장품 판매업","025530"
"479","한국단자공업","전동기 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","025540"
"480","한국선재","1차 철강 제조업","025550"
"481","미래산업","측정 시험 항해 제어 및 기타 정밀기기 제조업 광학기기 제외","025560"
"482","제이준코스메틱","기타 화학제품 제조업","025620"
"483","한솔홈데코","제재 및 목재 가공업","025750"
"484","한국정보통신","전기 통신업","025770"
"485","신라에스지","음ㆍ식료품 및 담배 도매업","025870"
"486","케이씨피드","동물용 사료 및 조제식품 제조업","025880"
"487","동화기업","나무제품 제조업","025900"
"488","아난티","스포츠 서비스업","025980"
"489","제이에스티나","귀금속 및 장신용품 제조업","026040"
"490","특수건설","토목 건설업","026150"
"491","디피씨","전동기 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","026890"
"492","동서","음ㆍ식료품 및 담배 도매업","026960"
"493","서울전자통신","그 외 기타 제품 제조업","027040"
"494","코리아나","기타 화학제품 제조업","027050"
"495","BGF","기타 금융업","027410"
"496","상보","전자부품 제조업","027580"
"497","팜스토리","동물용 사료 및 조제식품 제조업","027710"
"498","마니커","도축 육류 가공 및 저장 처리업","027740"
"499","미래SCI","기타 비금속 광물제품 제조업","028040"
"500","삼성엔지니어링","건축기술 엔지니어링 및 관련 기술 서비스업","028050"
"501","동아지질","기반조성 및 시설물 축조관련 전문공사업","028100"
"502","GS홈쇼핑","텔레비전 방송업","028150"
"503","삼성물산","기타 전문 도매업","028260"
"504","에이치엘비","선박 및 보트 건조업","028300"
"505","팬오션","해상 운송업","028670"
"506","케이씨","측정 시험 항해 제어 및 기타 정밀기기 제조업 광학기기 제외","029460"
"507","바른테크놀로지","통신 및 방송 장비 제조업","029480"
"508","신도리코","컴퓨터 및 주변장치 제조업","029530"
"509","제일기획","광고업","030000"
"510","NICE평가정보","기타 정보 서비스업","030190"
"511","케이티","전기 통신업","030200"
"512","에스마크","방적 및 가공사 제조업","030270"
"513","한글과컴퓨터","소프트웨어 개발 및 공급업","030520"
"514","원익홀딩스","기타 금융업","030530"
"515","동원수산","어로 어업","030720"
"516","동양네트웍스","컴퓨터 프로그래밍 시스템 통합 및 관리업","030790"
"517","아이즈비전","전기 통신업","031310"
"518","에스에이엠티","기계장비 및 관련 물품 도매업","031330"
"519","녹십자셀","기초 의약물질 및 생물학적 제제 제조업","031390"
"520","신세계인터내셔날","섬유 의복 신발 및 가죽제품 소매업","031430"
"521","신세계푸드","음식점업","031440"
"522","오스템","자동차 신품 부품 제조업","031510"
"523","엔에스엔","상품 종합 도매업","031860"
"524","피에스케이홀딩스","특수 목적용 기계 제조업","031980"
"525","다우데이타","기계장비 및 관련 물품 도매업","032190"
"526","롯데관광개발","여행사 및 기타 여행보조 서비스업","032350"
"527","케이엠더블유","통신 및 방송 장비 제조업","032500"
"528","TJ미디어","영상 및 음향기기 제조업","032540"
"529","황금에스티","1차 비철금속 제조업","032560"
"530","유비케어","소프트웨어 개발 및 공급업","032620"
"531","LG유플러스","전기 통신업","032640"
"532","삼진","통신 및 방송 장비 제조업","032750"
"533","엠젠플러스","기계장비 및 관련 물품 도매업","032790"
"534","판타지오","창작 및 예술관련 서비스업","032800"
